从B+树角度分析为什么单表尽量不要超过2000万,"1. B+树的层级即代表磁盘IO的次数，一般需要控制在3-4
2. B+树数据页默认16KB，叶子节点存放真实数据，非叶子节点存放主键和指针
3. 非叶子节点16KB，假设主键8KB+指针6KB，则16 * 1024 / (8 + 6) ≈ 1170个子节点
4. 叶子节点16KB，若单条数据行1KB则存16条
5. 3层的B+树则存储1170 * 1170 * 16 = 21902400条",DB
InnoDB为什么不用跳表，Redis为什么不用B+树,"1. B+树磁盘友好，叶子节点有序，磁盘顺序访问效率高。节点大小固定，磁盘可预读
2. 跳表内存友好，跳表用跳跃指针连接数据，无序对磁盘不友好。Redis基于内存，不考虑磁盘，跳表足够简单且性能高","DB,缓存"
线上接口RT优化怎么进行,"1. 定位慢接口，事先压测或通过instana等监控面板，用arthas进行字节码插桩分析耗时
2. 具体代码具体分析，一般代码层面和数据库层面
3. 代码层面，使用单例限制系统开销，批量操作，使用线程池和future模式，使用NIO，进行锁优化减少持锁时间和锁粒度，压缩传输，缓存结果等
4. 数据库层面即进行SQL调优，处理慢SQL",RT优化
什么是布隆过滤器，实现原理是什么,"1. 本质是一个bit数组，存有多个哈希函数
2. 通用预先设定的bit数组大小和误判率工作，元素经过多次哈希函数之后，给对应的bit设置为1，查询也是这个流程，存在误判风险，需要有兜底方案
3. 布隆过滤器只能添加元素，无法删除元素，因为无法判断删除的bit是否被其他元素共享
4. 应用场景包括爬虫过滤网页，解决缓存穿透，判断元素是否存在于分布式缓存避免全节点查询，黑名单过滤等",布隆过滤器
读写分离的优缺点与实现方案,"1. 优势在于，大多数应用读多写少可提升性能，可支持扩展增加数据库实例，可用性提升支持容灾切换主数据库，可实现负载均衡
2. 实现方式有3种，1是通过代码配置动态数据库，执行方法前指定，2是使用中间件如sharding-JDBC，3是代理模式，应用直接连接代理项目如atlas
3. 缺点是存在主从延迟，需要特殊处理。如读请求分类，不接受延迟的读要强制读主库，或者主备一致，利用等待位点等方式等待主备一致后再读取",DB
怎么做数据对账,"1. 大多数系统都采用最终一致性方案，任何中间的调用如服务间调用，任务重试等都可能失败，需要做数据队对账
2. 对账分为准实时对账或离线对账D+1。对账一般通过代码核对或SQL核对，代码核对在数据量大时，定时扫表加入内存可能OOM。SQL核对则较为理想
3. SQL核对分为离线数仓核对，在线数据库核对，准实时数据库核对，ETL核对，flink核对
4. 核对发现问题后，即时告警，人工介入处理",业务问题
MySQL千万大表如何做数据清理,"1. 删除数据时，若查询字段未加索引则会锁表，即使加了索引，也可能因为删除的binlog太大被拦截，且大规模删除会伴随着索引更新重建影响业务正常写入
2. 业界常用方案就是清理数据时扫描全表，根据主键或非空唯一键，分批执行
3. 如查询主键或非空唯一键的最大最小值，分批删除处理，若操作超过阈值则不再执行",DB
为什么MySQL用B+树，mongoDB用B树,"1. 关系型数据库主要有大量范围查询，非关系型数据库只要用于单条查询
2. MySQL数据存在磁盘上，mongoDB基于磁盘但结合内存映射
3. B+树叶子数据节点有序，因此范围查找效率高，B树更适合内存存储和随机访问的场景，因为非叶子节点也有数据且不在乎磁盘
4. 不过B+树还有层高更小的有点，因此新的mongoDB引擎也开始使用B+树","DB,缓存"
高并发的库存系统，如何在数据库做库存扣减,"1. 典型的数据库热点行更新，并发事务涉及锁竞争和冲突，导致性能下降甚至死锁
2. 解决方案一，排队，加锁或单线程执行，参考redis。MySQL可以使用阿里的inventory hint技术，对热点行更新的时候自动探测并排队执行
3. 解决方案二，拆分，把大的库存拆分成多个小库存，类型concurrentHashMap。通过拆分减小锁粒度，但是存在碎片问题，库存分割后不容易做大容量扣减
4. 解决方案三，合并，多个请求合并成一个，但需要窗口期来实现合并，对于异步链路场景可以使用
5. 其他方案，异步化削峰填谷解决高并发，update改insert，SQL限流提前拒绝等",DB
MySQL热点数据更新会带来什么问题,"1. 锁竞争，update需要添加排他锁，会导致大量请求被阻塞
2. 占用数据库连接，需要等待同一个记录的排他锁，等待过程中不释放连接
3. 耗尽数据库CPU，大量锁等待导致大量自旋，多个线程不间断执行自旋获取锁过程，同时进行死锁检测，浪费CPU时间片
4. 死锁风险，高并发情况下存在死锁的可能
5. 索引维护开销大，频繁更新可能导致索引频繁维护
6. 主从不一致，数据频繁更新会加剧主从不一致的情况",DB
如何不被第三方依赖服务拖垮,"1. 异步交互，可以通过定时任务或延迟消息等进行异步交互，起到削峰填谷的作用，并且允许重试
2. 文件交互，在异步交互的基础上做批次处理
3. 超时机制，设置超时机制避免无限时长等待，并且通过响应时间的数据做动态的负载均衡
4. 限流降级熔断，接口超时严重时做限流，降级和熔断
5. 业务取舍，通过替代方案处理掉第三方的依赖，例如实时调用第三方接口获取券码，改成事先获取，然后异步确认",业务问题
MySQL有2000W数据，redis只存20W的话怎么确保存的都是热点数据,"1. 数据预热，分析业务预先存入热点数据
2. 热点数据及时更新，热key实时监控，做热key的拆分和多级缓存，热点数据备份等
3. 缓存过期策略，使用LRU最近最少使用或LFU最不经常使用，前者适用于短期内访问频率高的热点数据，LFU则是关注长期
4. 缓存淘汰策略，设置过期时间，volatile-lru来remove",Redis
一锁二判三更新为什么还是有重复数据,"1. 如果事务的粒度大于锁的粒度，且由于事务之前存在隔离性，则可能导致A事务没处理完，B事务就进来了
2. 解决方案是减小事务粒度或者增大锁粒度，减小事务粒度可以用编程式事务，自己控制",幂等
3000qps的接口，RT要求200MS，预估需要多少台机器,"1. 200MS RT即单线程一秒处理5个请求，tomcat默认200线程，即单个实例最多一秒处理1000个请求
2. 按3000 QPS来算需要3台实例，但考虑到内存，CPU等额外的消耗以及应对突然高流量，一般是2-3倍，因此是6-9台",业务问题
100M内存存储1亿个整数，范围是1到2亿，如何快速判断整数是否存在,"1. 直接存整数的set，方案不可行，容量远超过100M
2. 使用bitmap，则2亿 / 8 / 1024 / 1024 ≈23.84M
3. 直接用bitmap存在稀疏分布，浪费内存空间的问题，可以考虑将整数拆分成高16位和低16位，高16位作为hashMap的key，低16位组成bitmap放在value里",业务问题
数据库做了逻辑删除后，怎么做唯一性约束,"1. 数据做归档，物理删除后归档，由于归档一般不是实时的，存在延迟问题
2. 复用同一条记录，但是额外添加记录的操作信息
3. >0都表示逻辑删除，这样可以将时间戳或者主键ID设置到deleted字段上
4. 引入新字段，例如删除时间，组成新的唯一键","DB,业务问题"
电商下单场景如何设计数据一致性的方案,"1. 分析不同的系统对一致性的要求，选用不同的分布式事务
2. 订单系统和库存系统要求强一致性，那么要用TCC或XA
3. 订单系统和积分系统要求最终一致性，可以用MQ事务或本地消息表
4. 订单系统和邮件系统要求弱一致性，可以用最大努力通知
5. 订单系统和运费险系统要求最终一致性，且对时间间隔不强求，可以定时任务异步处理",分布式事务
单表数据量大只能考虑分库分表吗,"1. 分库分表会引出跨表跨库join，分页查询等问题，方案复杂，不到万不得已不建议使用
2. 优先考虑其他方案，如数据表结构设计优化，索引优化，代码层引入缓存，数据分区，数据归档，分布式数据库等",DB
如何实现缓存的预热,"1. 启动过程中做预热，利用spring的@PostConsturct等加载本地缓存或redis缓存
2. 定时任务预热，来尽量确保预热数据的更新
3. 用时加载，在用户查询时再来进行更新缓存
4. 缓存加载器，例如caffeine的refreshAfterWrite配置缓存的自动刷新，可以在缓存项写入后，经过一定时间如果有读请求自动触发刷新",缓存
百万级数据怎么从excel导入数据库,"1. 内存溢出问题，全部加载到内存容易OOM，可以用easyexcel逐行读取数据，基于流式读取分批处理
2. 性能问题，使用多线程进行文件读取，数据库的插入也可以做批量插入
3. 错误处理，第一步预检数据，处理过程中数据重复做跳过处理，异常数据根据业务要求抛异常或直接跳过或日志抛出告警",业务问题
跨库join如何实现,"1. 同一个数据库实例可以直接指定数据库名做join，不过要考虑性能问题
2. 通过数据冗余来避免join要求，不过要考虑数据一致性如何处理
3. 内存中做join，直接从数据库捞数据，代码做处理
4. 宽表，利用数仓等技术做数据冗余，业界有ES等优秀方案，性能好，缺点是维护复杂
5. 第三方数据库，准实时同步数据到flink等数据库","DB,ES,业务问题"
应用占用内存持续增长，但是堆内存、元空间都没变化，是怎么回事,"1. NIO的ByteBuffer.allocateDirect使用直接内存，要注意即时释放或回收
2. 堆外缓存使用不当，大部分缓存框架都会使用堆外内存，如Ehcache
3. 日志文件的内存映射，JNI和本地代码，线程栈随着线程数量增加而增加等",JVM
和其他公司做数据交互要注意什么,"1. 安全性，接口交互用https，文件交互用sftp或ftps，数据进行加密，用签名进行校验，第三方接口要求API鉴权
2. 传输效率，使用专线，数据压缩，URL代替实际文件等
3. 合规性，数据做合规处理",第三方调用
4C8G机器各项系统指标在什么范围算正常,"1. CPU使用率高负载70%左右，系统负载Load 低于4，最好维持在2
2. 磁盘利用率超过80要告警，高IO等待时间则意味着磁盘性能瓶颈
3. 内存保持在70-80，长期维持在100要考虑内存泄漏或不足
4. JVM内存占用不要超过80%，且注意每次GC回收了多少
5. youngGC不要超过一分钟一次，时长控制在50ms，FULL GC一周不要超过1此，一次不要超过1秒",资源
4C8G * 16台和8C16G * 8台，哪个更好,4C8G* 16在并发能力、容错能力、负载均衡、连接数瓶颈等方面更有优势，但要考虑单机性能瓶颈和内存小触发GC频率高，以及单机性能低扩容频率会高一些的问题。不过小机器微服务现在是趋势,资源
如何预估一个系统的QPS,"1. 分析业务类型，TO B和TO C不一样；分析用户基数，根据业务分析用户行为
2. 参考历史数据，考虑高峰时段的数据，也可以根据行业标准预估
3. 根据活跃用户数来预估，按照日均流量的2-3倍来预估峰值流量
4. 考虑业务增长和用户增长的影响
5. 例如，微博月活跃用户是6亿，日活跃用户按30%算是2亿，每人每天2次交互即4亿次请求，平均分布是4639QPS，假设峰值是平均流量的3倍，且峰值持续2小时，则X * 22 + 3 * X * 2 = 4亿÷3600，算出X=3968，则峰值是12000左右",资源
如何做SQL调优，为何用了主键反而很慢,"1. 可能存在联合索引，比起主键索引能过滤更多数据
2. 如果主键索引过滤后，还要根据where条件做其他过滤，则效率不一定很高，要根据主键过滤后的行数来判断
3. 要考虑联合索引能过滤更多数据的情况下，通过避免order by主键等方式，强制使用联合索引",DB
如果存IP地址用什么类型数据结构,"1. IPV4和IPV6，字符串格式最直观，但如果有大量位运算，则二进制是更好选择
2. IPV4考虑性能和空间，可以用整数格式存储，是一个折中方案，不至于复杂
3. IPV6考虑性能和空间，建议用二进制存储，因为IPV6分多段，整数格式不太方便",业务问题
RPC请求，客户端显示超时，但服务端不超时，是为何,"1. 网络延迟或丢包，可以通过查看TCP重传率查看延迟情况
2. 服务端和客户端超时配置不一致，导致客户端先执行超时逻辑
3. 客户端处理能力，客户端处理并发请求时比较慢，导致某些请求处理较长形成超时",第三方调用
为什么不用MQ做订单关闭,"1. 资源占用与成本，一个订单占用一个延迟消息会导致大量消息积压
2. 延迟消息的限制，部分MQ对延迟消息的支持有限制，无法支持比较细或者比较长的延迟消息
3. 可靠性问题，MQ没办法做到100%不丢失
4. 精确性问题，消息投递是存在延迟的
5. 大量无用消息，大部分订单会提前关闭或成功","MQ,业务问题"
如何实现敏感词过滤,"1. 字符串直接匹配，用在小规模文本
2. 前缀树进行匹配，常用于自动补全，拼写检查，词频统计，敏感词过来等
3. DFA算法，确定有限自动机，构建字符与下一状态的关联",业务问题
为何不要在事务中做外部调用,"1. 增加事务持续时间，尤其是网络延迟或外部服务慢的情况下
2. 死锁和资源竞争，长时间持有锁会引发死锁
3. 提高事务失败风险，如果外部调用失败或超时，需要回滚事务，并且外部可能成功了只是超时没返回
4. 难以保证原子性，无法判断外部接口失败是因为超时还是真的失败，回滚很麻烦","DB,第三方调用"
如何做平滑的数据迁移,"1. 最重要的5个问题，数据完整性，数据实时性（新旧数据的实时同步），数据校验，灰度控制，回滚机制
2. 迁移工作，有datax，canal这种工具，但更多是根据代码进行迁移
3. 迁移的过程从双写读旧，到存量数据迁移，到双写灰度切流读新，到最后写新读写，过程中需要对数据进行核对
4. 其中灰度的开关，数据的核对，以及迁移工作都需要严格设置代码逻辑",业务问题
如何实现抢红包功能,"1. 二倍均值法确保红包都有可能拿到大额
2. 考虑性能，高并发，安全，用户体验",业务问题
分布式锁要加在事务外还是事务里面,"1. 锁粒度大于事务，则锁时间变长，影响吞吐量，但保证一致性
2. 事务粒度大于锁，则事务时间变长，可能引起死锁和事务竞争","Redis,DB"
分布式锁影响了并发怎么办,加分布式锁只是防止了用户触发同一个行为，并不会影响其他用户的请求，相反因为提前拦截了异常请求反而有利于其他用户体验,业务问题
DB乐观锁和悲观锁，以及Redis分布式锁的区别和使用场景,"1. 悲观锁select for update，用在数据竞争激烈，更新和删除操作多的场景
2. 乐观锁用在假设大部分时间都没有数据竞争的场景，通过版本号或时间戳来实现
3. 乐观锁用在读多写少的场景，悲观锁用在写多的场景，不过悲观锁可以用redis分布式锁替代，提高性能","DB,Redis"
为什么很多公司数据库不允许物理删除数据,"1. 数据留痕，用于数据分析，数据报表等，或者历史问题排查
2. 合规要求，部分行业要求数据保留一定时间做审计
3. 数据完整性，物理删除可能会导致其他表的数据无法做关联
4. 性能考虑，物理删除大量数据会触发大量索引重构
5. 导致内存碎片，innoDB执行delete后会做个标记，空间不会立即释放
6. 如果做了数据归档，可以考虑删除部分历史数据",业务问题
为什么不要分布式锁实现秒杀,"1. 因为没必要，lua脚本已经能实现防止超卖和抗更高并发的问题
2. 使用分布式锁，如果不使用lua脚本需要多次操作Redis，存在网络资源消耗问题",Redis
为什么不用blockingQueue做消息队列,"1. 本地队列缺乏分布式特性，不支持扩展
2. 内存队列没有持久化支持
3. 没有高级特性，如消息确认，重试，死信队列，延迟队列，事务消息等等
4. 缺乏管理和监控工具，无法实时监控消息是否积压等
5. 只适用于单机环境，处理大批量消息性能不足","JVM,MQ"
spring event和MQ的区别和使用场景,"1. 都支持生产消费者，都支持一对多一对一，都支持异步处理
2. 区别在于MQ支持消息持久化，MQ支持削峰填谷，MQ支持失败重试，MQ还有较多特殊功能如延迟消息，事务消息等
3. 但spring event胜在简单，只是需要处理失败的时候如何补偿。若需要用于多系统交互，且要求吞吐量或其他高级特效，则只能用MQ","JVM,MQ"
如何实现百万级排行榜功能,"1. 百万级数据存zset会变成大key，因此要做数据分片和分区，例如按照用户ID分区或按照地区分区，例如取全国前10，只需要取所有地区的前10做排序
2. 要考虑如何分页查询，用redis的zrange配合withscores参数，或者zrevrange倒序查询，结合limit分页
3. 控制并发的访问和更新，异步批次更新，同时去除不活跃的数据
4. 容灾和数据一致性，集群式部署，进行数据分片和负载均衡。同时定期备份redis数据，用RDB冷备，AOF热备
5. 为了保证实时性，可以设置过期时间减少数据，或者手动刷新缓存。如果有频繁请求的需求，可以考虑牺牲一点一致性，用本地缓存",Redis
为什么一定要限流，而不是加机器,"1. 客户第一，但是限流是为了更好服务客户，将黑产，DDoS等攻击拦截住
2. 限流防止的是突发流量，避免突发流量太大直接打崩服务器，导致加机器都加不了，一加就爆。因此限流也是一种自我保护的机制，不然加机器都没办法加
3. 限流同时也是保护下游服务的需求
4. 加机器是需要成本的，也无法无限加",业务问题
大型电商系统怎么设计分库分表,"1. 明确目的，分表是为了解决数据量大的问题，分库是为了解决高并发的问题。一般来说高并发往往伴随着大数据量，因此分库分表一般搭配着做
2. 垂直分库是按照业务来分，垂直分表是将大表拆成多个表，把扩展信息拆成其他表
3. 水平分库或分表，则是把库或表的所有数据，水平分散到不同的库或表中
4. 分表数量需要预估，按照当前数量+预计每年增量*保留年限的总数除以2000万。一般分库的话会是分表数量除以8
5. 分表字段，如果是订单表可以按照时间或者买家ID分。但一般按照买家ID分更贴合用户且避免数据倾斜，时间分表或者卖家ID表完全可以用同步的只读表完成
6. 大型电商系统，买家ID分表，同步卖家表，基因法生成订单号，再加上历史订单数据归档是比较常见的方法
7. 分表算法一般是取模，一致性hash用的少，因为一般分表都一次到位","DB,业务问题"
分布式架构一定优于单体架构吗,"1. 单体开发测试部署简单，没有系统间网络交互的问题，不需要考虑分布式问题。存在性能瓶颈，且维护难度大，单点故障，无法更换技术栈
2. 分布式易于扩展和容灾，模块化开发简单，技术栈丰富。但运维维护复杂，有分布式问题",业务问题
redis挂了怎么办,"1. 事前考虑集群，主从架构＋哨兵部署
2. 通过监控告警，发现redis挂了的话，可以启用应急机制
3. 原本使用分布式锁的地方改成限流，需提前设计。若无法限流则需要降级
4. redis要有备份，能够及时恢复，在redis不可用的时候，本地缓存要能承担一定的压力",Redis
代码中使用长事务会有什么问题,"1. 事务执行时间长，会持续占用数据库链接，影响其他事务使用，降低吞吐量
2. 事务若持有锁，长事务可能导致锁冲突甚至死锁
3. InnoDB使用MVCC做并发控制，长事务会导致旧版本的数据持续存在，影响数据库的清理操作
4. 长事务修改或删除行时，MVCC里其他事务涉及读取这些行，就需要做更多的工作来重建旧数据，生成undolog
5. 当长事务修改一个表时，可能会导致其他事务对该表的查询不适用覆盖索引技术（二级索引有个page_max_trx_id记录修改过该页的最大事务ID，若大于up_limit_id则说明被修改过，必须回表查询）",DB
Redis内存满了会挂吗,具体看redis的内存淘汰策略，有volatile或allkey选择范围，ttl或lru或lfu选择策略。即使不淘汰的noeviction，也只是拒绝写入操作，不会直接挂,Redis
给第三方提供接口调用要注意什么,"1. 无论是外部还是内部接口，安全性是最值得考虑的。包括授权和字段的安全传输。以及授权后访问的权限控制
2. 提供出去的接口最好是通用化的，非定制化接口
3. 要预留好升级的准备，如版本控制，升级的兼容性问题
4. 接口字段的语义要明确，不要摸棱两可
5. 屏蔽错误信息，不要直接抛空指针这种错误，而是要封装错误码体系
6. 提供接口后要做好自我保护，要做限流，熔断等机制
7. RPC接口出入参要实现序列化，要带上响应码，使用包装类而不是基本类型，不要使用枚举类做参数，对升级不友好",第三方调用
应用启动前后几分钟，Load/RT/CPU飙高如何排查,"1. 灰度发布，可能是100台机器，分10批发布，同时间只有90台能接请求，又遇上请求高峰
2. 存在初始化任务，例如拉取配置中心数据，缓存预热等等，排查应用启动时的活跃线程数，查看CPU占用高的线程在干嘛
3. JIT优化，应用刚启动，JIT优化会开始介入，频繁地热点代码检测和代码编译处理会消耗CPU，导致CPU、Load较高，影响业务线程升高RT",JVM
分库分表时，存在数据稀疏分布的情况怎么处理？例如每个城市的人口不一样,"1. 更换更均匀的分表键或分表算法，例如不用城市用生日、身份证尾号等，但一般业务不允许更换
2. 人工干预分表算法，例如提前知道哪些城市人口多如北上广深，这4个城市一个表，其他城市公用其他4个表。或者将密集型城市二次拆分，按区域来拆分","DB,业务问题"
日志打印成为RT瓶颈怎么优化,"1. 控制日志输出量，只打印必要日志
2. 日志级别，线上打印warn和error，只保留必要排查问题的info日志。打印前检查日志级别
3. 异步打印日志，设置队列满了是否丢弃日志
4. 日志文件滚动，按每天来限制日志文件大小。日志文件按照等级拆分。
5. 提前做好逻辑，允许线上做日志降级，例如通过配置日志打印比例，或者只推送error和warn日志",业务问题
分布式系统怎么共享session,redis，MySQL，mongoDB等分布式存储，或者客户端存储，黏性session，session复制等,业务问题
实现登录拉黑功能，拉黑和踢下线,"1. 拉黑可以采用单独做黑名单表，或者用户表加字段。黑名单表适合拉黑用户多的情况，还能给其他业务使用。为了提升性能可以使用缓存和布隆过滤器
2. 踢人下线，直接清空session",业务问题
第三方支付接口成功，但是调用方显示失败如何解决,"1. 网络问题，需要有重试机制或外部提供支付结果查询
2. 异步处理，外部异步处理订单，还未通知用户即报错
3. 如果真的支付成功了，需要有手段得知这个结果。如果确认是支付失败需要取消订单",业务问题
读取1000个文件，1个线程和10个线程哪个效率更高,IO密集型任务，显然多线程会更好,业务问题
select b where a=xx，ab联合索引无法走索引覆盖是为什么,"1. a和xx不是一个类型
2. 长事务在操作同一条记录，MVCC中二级索引判断page_max_trx_id太新，大于read view。则需要回主键查询undo log链",DB
大量手机号码被设置为骚扰电话，怎么存储,"1. 基础数据存数据库，表用手机号码做唯一索引
2. 适用redis缓存，不存所有数据，LRU存20%左右的数据，或者用布隆过滤器
3. 适用本地缓存存热门数据，数据不一致问题可以通过一层一层往上查解决",业务问题
把商品加入购物车时断网了，重新联网如何同步,"1. 客户端要有本地缓存，时刻保存数据在本地；定期检测网络状态，判断是否需要同步数据，有重试机制
2. 服务端做好幂等控制",业务问题
外卖系统一天1000w数据，用户和商家都要查近30天数据，怎么设计表,"1. 每天1000w订单，1年36亿，必须分表。考虑到有高并发需求，也需要分库
2. 热点业务只查30天数据，可以考虑数据归档，热数据只存30天的
3. 需要同时满足卖家和商户的查询，可以考虑用买家ID做分表键，卖家用准实时同步的其他类型数据库做查询
4. 数据量缓存无法有效提效，且订单数据变更快，有一致性问题
5. 当然也有用钱的方式，直接用分布式数据库，分别使用买家ID+时间和卖家ID+时间做索引键","DB,业务问题"
电梯里断网又恢复为啥网络慢,"1. TCP的拥塞控制，网络断开时会检测到发生超时重传，会慢启动
2. 无线网络还存在网络重新协商的问题，包括重新连接到基站或路由，分配通信资源如信道和带宽，IP地址重新分配等",网络协议
一个表有用户和时间列，需求有查用户，查日期，查用户和日期等场景，怎么建索引,"1. 如果是toC业务，用户量多，则建立2个索引即可，用户ID+时间的联合索引和单独时间的索引
2. 如果是toB业务，用户量少，则联合索引可以改成时间+用户ID，以及单独用户的索引","DB,业务问题"
做过滤黑名单网址系统如何实现,"1. 哈希表或前缀树都存在内存消耗较大的问题，比较合适的是布隆过滤器，但是布隆过滤器有误判可能，并且不能删除
2. 比较合适的方案是本地缓存+redis+MySQL，本地缓存做第一层，查询不在布隆过滤器则判断为一定不在和名单里，反之则不断往上查询",业务问题
全国酒店价格要准时在某一时刻更新，如何高性能准点更新价格,"1. 大前提是价格的新数值一定要提前计算，不要在更新前才计算
2. 方案一就是多版本价格，在数据库里建表存放价格信息、包括价格生效的时间和条件等，在特定的时间查询得到特定价格，实现准时变动。该方案如果有使用缓存，则缓存要按照指定到期失效，同时引入分布式锁避免缓存击穿
3. 方案二就是分布式更新，将更新的数据进行拆分，分库分表多实例来处理，引入多线程和SQL批量更新",业务问题
有多个节点，出现线上RT高的情况，但监控显示服务器CPU和缓存无压力,"1. 如果CPU和缓存都无压力，则首先考虑网络因素，是否带宽限制或网络阻塞，网络延迟或丢包，CDN问题
2. 如果存在大量IO操作，如日志写入也会导致CPU不高但RT高。或者存在第三方接口的调用导致延时
3. 考虑数据库的性能，是否存在慢SQL导致数据库链接不够用等等
4. 排查顺序，先观察是否持续异常，再观察是否发布导致的，观察全局还是局部异常，查看QPS是否上涨，查看GC次数，查看接口代码上下游服务，查看数据库和redis等，最后查看服务器网络情况","JVM,业务问题"
怎么保证账户在高并发情况下不超花,分布式锁，数据库乐观锁，redis扣减,业务问题
